Experiment Simple_Date Class_ID Participant_Private_ID Condition Phase Trial Zone_Name DiagramStudySS
1 2022-06-03 8hl 6563292 No-SSI 1 Botox DiagBox4 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Botox DiagBox2 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Botox DiagBox1 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Geld DiagBox2 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Geld DiagBox3 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Geld DiagBox4 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Geld DiagBox1 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Suez DiagBox2 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Suez DiagBox3 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Suez DiagBox4 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Suez DiagBox1 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563292 No-SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Botox DiagBox3 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Botox DiagBox4 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Botox DiagBox2 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Botox DiagBox1 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Geld DiagBox2 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Geld DiagBox3 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Geld DiagBox4 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Geld DiagBox1 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Metro DiagBox1 NA
1 2022-06-03 8hl 6563293 No-SSI 1 Metro DiagBox3 NA
