Experiment Participant_Private_ID Consent Age Gender
2 7760182 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7760181 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7760180 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760177 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7760173 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7759936 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7759935 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7759930 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7759926 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7759924 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7759923 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7759922 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7759920 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7759918 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7759915 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7759914 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7759913 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7759912 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7759911 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7759910 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7759697 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7759678 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7759673 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7759618 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7759612 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7759611 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7759610 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Vrouw/meisje
